wavelength_nm,transmission
400,0.075858178
410,0.22270013
420,0.49999994
430,0.77729969
440,0.92414143
450,0.97702182
460,0.99330554
470,0.99807012
480,0.99944108
490,0.9998296
500,0.99993129
510,0.9999416
520,0.99990785
530,0.99982673
540,0.99966434
550,0.99934695
560,0.99872896
570,0.99752737
580,0.99519525
590,0.99068404
600,0.98201379
610,0.9655548
620,0.93503083
630,0.88079708
640,0.79139147
650,0.66075637
660,0.5
670,0.33924363
680,0.20860853
690,0.11920292
700,0.064969169
