wavelength_nm,R,G,B
380,0.00013191,0.00020892,0.00022738
385,0.00026382,0.00041784,0.00045477
390,0.00039574,0.00062676,0.00068215
395,0.00128142,0.00168798,0.00526442
400,0.00518216,0.00615842,0.02726622
405,0.00908291,0.01062886,0.04926802
410,0.03884864,0.05122011,0.25460314
415,0.06048756,0.08638533,0.43069495
420,0.06993624,0.11341151,0.56292177
425,0.06485806,0.12590174,0.61314431
430,0.05977989,0.13839198,0.66336684
435,0.05487427,0.15842234,0.71488089
440,0.04996864,0.17845271,0.76639494
445,0.04533111,0.19019962,0.78763705
450,0.04069359,0.20194653,0.80887916
455,0.03946010,0.23438203,0.82332255
460,0.03822661,0.26681754,0.83776595
465,0.04215028,0.33778991,0.83330824
470,0.04607396,0.40876229,0.82885053
475,0.04821648,0.44546015,0.80185193
480,0.05035900,0.48215801,0.77485332
485,0.04742216,0.49647182,0.70367567
490,0.04620167,0.52959082,0.63275981
495,0.04755571,0.59091761,0.56223664
500,0.04890974,0.65224440,0.49171347
505,0.05674365,0.74219809,0.41726202
510,0.06457755,0.83215178,0.34281058
515,0.08217141,0.89704265,0.28538402
520,0.09976528,0.96193352,0.22795745
525,0.10351713,0.98096676,0.18948485
530,0.10726899,1.00000000,0.15101224
535,0.09675189,0.99509759,0.12427604
540,0.07672216,0.97423807,0.10536412
545,0.06100593,0.94452546,0.08535526
550,0.04528970,0.91481285,0.06534639
555,0.04248701,0.86246329,0.05171563
560,0.03968433,0.81011372,0.03808487
565,0.04542282,0.73146250,0.02854168
570,0.09921401,0.65375276,0.02140906
575,0.22508424,0.57745523,0.01789231
580,0.35095448,0.50115769,0.01437556
585,0.48799915,0.42127771,0.01218690
590,0.59519104,0.34427706,0.01015345
595,0.58297183,0.27879377,0.00874079
600,0.57075263,0.21331047,0.00732812
605,0.52892638,0.16731440,0.00631417
610,0.48710014,0.12131834,0.00530022
615,0.43284427,0.09220359,0.00487255
620,0.37858840,0.06308884,0.00444488
625,0.33259914,0.05204482,0.00459399
630,0.28660989,0.04100080,0.00474309
635,0.25103263,0.03365364,0.00493019
640,0.22239670,0.02877106,0.00514261
645,0.19330236,0.02472298,0.00557498
650,0.16420802,0.02067490,0.00600735
655,0.13721728,0.01810992,0.00594925
660,0.11022655,0.01554495,0.00589115
665,0.09423348,0.01454013,0.00551077
670,0.07824041,0.01353532,0.00513038
675,0.05934067,0.01161920,0.00417053
680,0.03971427,0.00947525,0.00306582
685,0.02624114,0.00677802,0.00209343
690,0.01276800,0.00408079,0.00112105
695,0.00729470,0.00251707,0.00069278
700,0.00182141,0.00095335,0.00026451
705,0.00153657,0.00082330,0.00023061
710,0.00125173,0.00069324,0.00019671
715,0.00096688,0.00056318,0.00016281
720,0.00068204,0.00043313,0.00012891
725,0.00039720,0.00030307,0.00009501
730,0.00011236,0.00017301,0.00006112
735,0.00011236,0.00017301,0.00006112
740,0.00011236,0.00017301,0.00006112
745,0.00011236,0.00017301,0.00006112
750,0.00011236,0.00017301,0.00006112
755,0.00011236,0.00017301,0.00006112
760,0.00011236,0.00017301,0.00006112
765,0.00011236,0.00017301,0.00006112
770,0.00011236,0.00017301,0.00006112
775,0.00011236,0.00017301,0.00006112
780,0.00011236,0.00017301,0.00006112
